id,binomial,replicate,included_in_lpr2024,citation,class,order,family,genus,species,subspecies,common_name,location,country,all_countries,region,ipbes_region,ipbes_subregion,latitude,longitude,specific_location,system,t_realm,t_biome,fw_realm,fw_biome,m_realm,m_ocean,m_biome,units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,native,unnamed_102,n_obs,first_obs_year,last_obs_year,time_span,n_gaps,max_gap,continuity_ratio,zero_count,zero_share,years_since_last_obs,has_coordinates,has_country,has_valid_coordinates,has_binomial,has_class,has_order,has_family,has_genus,has_species,has_taxonomy_hierarchy,unit_category,unit_usable,system_group
19802,Tamiasciurus_hudsonicus,0,1,"Koprowski, J. (2017). ""Population Trends of the Mount Graham Red Squirrel."" CRL: Mt Graham Red Squirrel Monitoring Program - Project Data. Retrieved 13/08/2018, 2018, from https://cals.arizona.edu/research/redsquirrel/mgrs-data.html#pt.",Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,grahamensis,American red squirrel,"Mount Graham, Arizona",united states,United States,North America,Americas,North America,32.701797,-109.871551,1,terrestrial,Nearctic,Tropical and subtropical coniferous forests,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.18,234.72,193.92,191.07,260.06,379.67,305.8,365.0,398.07,391.15,359.73,363.83,549.15,528.34,474.07,247.55,268.79,274.11,263.92,276.17,276.19,299.06,263.15,250.1,214.2,240.33,214.22,272.19,273.84,263.65,252.23,35.51,,,,1,,32.0,1986.0,2017.0,32.0,0.0,0.0,1.0,0.0,0.0,3.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
19825,Alauda_razae,0,1,"Brooke, M. d. L. 2018. Extreme rainfall-related clutch size variation in the Critically Endangered Raso Lark Alauda razae of the arid Cape Verde islands. Bird Conservation International.",Aves,Passeriformes,Alaudidae,Alauda,razae,,Raso lark,Raso Island,cabo verde,Cabo Verde,Africa,Africa,West Africa,16.618369,-24.587464,1,terrestrial,Afrotropical,Tropical and subtropical dry broadleaf forests,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,100.0,80.0,57.0,132.0,140.0,159.0,184.0,193.0,486.0,1558.0,1546.0,1314.0,1170.0,900.0,908.0,1514.0,,,,1,,17.0,2001.0,2017.0,17.0,0.0,0.0,1.0,0.0,0.0,3.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
19854,Alces_americanus,0,1,"Environment and Conservation Government of Newfoundland and Labrador (2015). Wildlife Population Metrics, Open Data Newfoundland and Labrador.",Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,"Island, Newfoundland and Labrador",canada,Canada,North America,Americas,North America,48.60645,-56.33304,1,terrestrial,Nearctic,Boreal forests/taiga,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86820.0,89502.0,92834.0,97347.0,103961.0,108310.0,113722.0,118123.0,122497.0,127048.0,130806.0,133756.0,135693.0,137881.0,140080.0,142437.0,146007.0,149275.0,149298.0,147955.0,145273.0,141822.0,138653.0,135490.0,132609.0,132412.0,130771.0,128485.0,125847.0,122480.0,119561.0,117548.0,116359.0,116179.0,114428.0,114864.0,114150.0,,,,,1,,37.0,1980.0,2016.0,37.0,0.0,0.0,1.0,0.0,0.0,4.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
21286,Ficedula_hypoleuca,1,0,"González-Braojos, S., J. José Sanz, and J. Moreno, Decline of a montane Mediterranean pied flycatcher Ficedula hypoleuca population in relation to climate. Journal of Avian Biology, 2017. 48: p. 1383-1393.",Aves,Passeriformes,Muscicapidae,Ficedula,hypoleuca,,European pied flycatcher,"ValsaÃ­n, Segovia, Spain",spain,Spain,Europe,Europe and Central Asia,Central and Western Europe,40.9,-4.016667,1,terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",,,,,,pairs per 10 ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9553,25.7823,21.4606,26.9363,27.7498,23.3606,43.2958,31.4066,38.0308,39.4525,31.6848,27.7687,20.0012,19.1931,27.5066,27.1714,29.7416,28.1228,27.5173,23.1282,21.9146,17.7957,23.4066,19.1525,20.9119,,,,,,1,,25.0,1991.0,2015.0,25.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
21347,Ovis_dalli,0,1,"Parks Canada (2017). Dall’s Sheep Survey Count – Kluane. Open Government Portal. https://open.canada.ca/data/en/dataset/77cfcefd-2a24-4a1f-a90b-eb65e0cb8fb9, Contains information licensed under the Open Government Licence – Canada.",Mammalia,Artiodactyla,Bovidae,Ovis,dalli,dalli,Dall's sheep,"Sheep Mountain, Kluane National Park and Reserve, Yukon",canada,Canada,North America,Americas,North America,61.01606,-138.57067,1,terrestrial,Nearctic,Tundra,,,,,,"number of individuals (rams, ewes, immature rams)",,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,248.0,285.0,296.0,317.0,355.0,280.0,310.0,345.0,295.0,313.0,300.0,293.0,269.0,269.0,247.0,356.0,262.0,277.0,288.0,281.0,323.0,295.0,297.0,260.0,,,244.0,317.0,371.0,271.0,,,212.0,239.0,262.0,236.0,295.0,370.0,,446.0,,,,1,,36.0,1977.0,2017.0,41.0,3.0,2.0,0.8780487804878049,0.0,0.0,3.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
22389,Rangifer_tarandus,0,1,"Environment and Conservation Government of Newfoundland and Labrador (2015). Wildlife Population Metrics, Open Data Newfoundland and Labrador, 2015. Wildlife Population Metrics. Open Data Newfoundland and Labrador.",Mammalia,Artiodactyla,Cervidae,Rangifer,tarandus,,Reindeer / Caribou,"Island, Newfoundland and Labrador",canada,Canada,North America,Americas,North America,48.60645,-56.33304,1,terrestrial,Nearctic,Boreal forests/taiga,,,,,,estimated number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31285.0,39972.0,44277.0,49886.0,54182.0,58495.0,62809.0,67264.0,71782.0,75384.0,78319.0,80814.0,83225.0,87269.0,90706.0,90778.0,92403.0,90106.0,84769.0,79727.0,74688.0,69649.0,64611.0,59573.0,53028.0,47728.0,42600.0,40282.0,38255.0,36876.0,35542.0,34786.0,33878.0,33321.0,32667.0,31974.0,30727.0,,,,,1,,37.0,1980.0,2016.0,37.0,0.0,0.0,1.0,0.0,0.0,4.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
23003,Aquila_fasciata,0,1,"de Seynes, A. 2009. Les oiseaux rares et menacés en France en 2008. Ornithos 16:153-184. | Quaintenne, G. 2016. Les oiseaux nicheurs rares et menacés en France en 2015. Ornithos 23:57-91.",Aves,Accipitriformes,Accipitridae,Aquila,fasciata,,Bonelli's eagle,France,france,France,Europe,Europe and Central Asia,Central and Western Europe,43.63841,3.33828,0,terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",,,,,,number of breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,22.0,24.0,26.0,28.0,28.0,26.0,29.0,29.0,30.0,31.0,30.0,30.0,32.0,33.0,,,,,,1,,16.0,2000.0,2015.0,16.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
23011,Neophron_percnopterus,0,1,"de Seynes, A. 2009. Les oiseaux rares et menacés en France en 2008. Ornithos 16:153-184. | Quaintenne, G. 2016. Les oiseaux nicheurs rares et menacés en France en 2015. Ornithos 23:57-91.",Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,,Egyptian vulture,France,france,France,Europe,Europe and Central Asia,Central and Western Europe,43.63841,3.33828,0,terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",,,,,,number of breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,69.0,72.0,71.0,82.0,84.0,81.0,87.0,86.0,82.0,88.0,92.0,93.0,,88.0,88.0,,,,,,1,,15.0,2000.0,2015.0,16.0,1.0,1.0,0.9375,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
23018,Falco_naumanni,0,1,"de Seynes, A. 2009. Les oiseaux rares et menacés en France en 2008. Ornithos 16:153-184. | Quaintenne, G. 2016. Les oiseaux nicheurs rares et menacés en France en 2015. Ornithos 23:57-91.",Aves,Falconiformes,Falconidae,Falco,naumanni,,Lesser kestrel,France,france,France,Europe,Europe and Central Asia,Central and Western Europe,46.086916,-1.051356,0,terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",,,,,,number of breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,65.0,72.0,75.0,114.0,151.0,171.0,182.0,194.0,259.0,279.0,355.0,332.0,350.0,436.0,363.0,,,,,,1,,16.0,2000.0,2015.0,16.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
23019,Gypaetus_barbatus,0,1,"de Seynes, A. 2009. Les oiseaux rares et menacés en France en 2008. Ornithos 16:153-184. | Quaintenne, G. 2016. Les oiseaux nicheurs rares et menacés en France en 2015. Ornithos 23:57-91.",Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,,Bearded vulture / Lammergeyer,France,france,France,Europe,Europe and Central Asia,Central and Western Europe,43.569587,7.037931,0,terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",,,,,,number of breeding pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,36.0,37.0,38.0,40.0,41.0,45.0,43.5,45.0,48.0,51.0,48.0,46.0,49.0,53.0,53.0,,,,,,1,,16.0,2000.0,2015.0,16.0,0.0,0.0,1.0,0.0,0.0,5.0,True,True,True,True,True,True,True,True,True,True,direct_count,True,terrestrial
